Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red,Va
0,686.2553711,1023.392212,,480.012085,917.796814,,682.8928833,1025.35022,,480.0202942,906.8613892,,477.6702576,913.3983765,,0.0
1,686.2553711,1023.392395,0.0001831054689,480.0159912,917.7879028,0.00972970077,682.8946533,1025.348999,0.002150136103,480.0236511,906.8488159,0.01301366291,477.6750488,913.4136963,0.01605157887,0.00041128184121900005
2,688.421936,1024.549072,2.455993872,481.2472839,917.645874,1.239457122,686.0140991,1026.561401,3.346768822,480.7572632,906.925293,0.7375875505,479.328064,912.7987061,1.763709735,0.09543517101499999
3,865.0794678,946.4901733,1.931348628,482.484314,916.4202271,1.74139421,485.1218872,897.6531982,2.694377061,487.6689453,907.5759277,6.942238504,480.7756348,913.0847168,1.475555274,0.14784913677
4,866.3009033,946.2451782,1.245763783,486.4433289,919.6523438,5.110809846,485.2001343,896.4195557,1.236121602,488.3825378,907.1523438,0.8298419667,480.791626,915.0569458,1.972293833,0.10394831030700001
5,867.6768799,946.7804565,1.476426219,486.3258362,912.3134155,7.339868663,489.2486572,896.9000244,4.076933687,492.0653381,906.1876221,3.80706001,484.977356,913.3345947,4.526237808,0.21226526387
6,870.3554688,947.180542,2.708303285,487.3565674,910.7307129,1.888744145,492.5397034,908.2822876,11.84849779,494.2558899,901.1242676,5.51689004,487.3278809,911.6883545,2.869681903,0.24832117163
7,875.1512451,947.7036743,4.824224123,925.4728394,977.5925903,4.431888744,520.887146,962.3974609,10.90338754,515.3809204,980.5726929,2.20899705,492.2464905,967.2529297,5.781849532,0.28150346989
8,877.7172852,949.5653687,3.170247196,519.9181519,965.0430298,4.05748809,523.1711426,965.5234375,3.87148161,512.1119385,991.5259399,11.43065459,489.6358948,965.1379395,3.359820474,0.2588969196
9,882.1582642,951.2455444,4.748187567,498.8606873,965.4918213,2.062246537,524.4959717,967.2965088,2.21335807,513.1091919,999.9364014,8.469378712,484.3533325,956.921814,9.767813575,0.27260984461
10,882.7823486,953.5783691,2.414860771,532.0575562,888.2032471,8.116323085,528.0355835,970.4981079,4.772744362,515.0438843,1011.647278,11.86961087,482.7194519,953.6259766,3.678601643,0.30852140731
11,890.3964844,955.7956543,7.93041087,515.3677979,974.3540649,7.525580937,529.5147705,974.4224243,4.193835175,512.3618774,1014.239685,3.730112049,481.3691711,950.6278687,3.288146769,0.266680858
12,526.6563721,1031.264893,3.486843948,515.6551514,977.8856812,3.54328733,530.3033447,980.2203979,5.851354334,513.0601196,1020.629639,6.427989525,479.8954163,946.6119995,4.27775156,0.23587226697
13,735.93396,1064.945801,2.1970546,516.7766113,980.8057251,3.127991222,530.229126,985.5714111,5.351527867,510.8023071,1025.742065,5.58879456,480.291687,940.8642578,5.761385697,0.22026753946
14,530.5726318,1043.822388,2.444844134,618.9946289,834.2981567,1.642074283,534.6096802,989.4024048,5.819430166,510.5350952,1029.2052,3.473428366,478.592804,937.5162964,3.754337405,0.17134114354000002
15,530.4025269,1046.266479,2.450004167,517.3791504,994.0839233,1.935996589,537.8314819,993.5690918,5.266999831,509.6802368,1032.264893,3.176869585,477.916687,933.9353027,3.644262567,0.16474132739
16,530.289856,1048.07666,1.813683756,518.3627319,1000.268494,6.262295314,539.9140015,995.6362305,2.934271611,510.0099182,1036.021851,3.771395404,477.1839294,929.7649536,4.23423493,0.19015881015000002
17,532.8464966,1051.320801,4.130479352,518.9485474,1006.231201,5.991415582,540.6911621,997.0021973,1.57157372,508.5318298,1040.284912,4.512032669,477.1248779,927.3366089,2.429062616,0.18634563939
18,534.1080322,1056.905273,5.725190567,519.4815674,1012.698303,6.489030689,545.6317749,999.1011963,5.368002577,509.3100281,1044.143677,3.936452352,479.3036194,924.6660156,3.44659001,0.24965266195000002
19,533.3162842,1058.267456,1.575565439,519.6240234,1017.414917,4.718764582,549.3394775,1002.031494,4.725854879,510.647583,1046.903687,3.067035556,478.324707,921.0566406,3.73976701,0.17826987466000002
20,532.7058716,1059.633057,1.495817001,521.1812744,1022.672058,5.482933821,552.0615234,1006.291809,5.055671792,513.8828735,1051.898071,5.950712897,477.363739,921.1640625,0.9669534581,0.189520889691
