Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red,Va
39,569.114502,800.5593872,8.573110703,589.0633545,830.998291,5.806188787,518.5473022,827.0366211,5.737782456,583.7615356,817.7365112,6.226541797,499.3780823,823.7880859,7.590838832,0.33934462574999996
40,575.3734131,798.1038208,6.723375264,594.4464111,829.0831909,5.713572191,517.9721069,823.4421387,3.640213391,586.0542603,816.3380737,2.685556474,501.8533325,822.5630493,2.761807107,0.21524524427
41,582.7736206,797.2078857,7.454245164,598.366394,825.9754028,5.002460675,526.3417358,820.7142334,8.802962865,590.6590576,812.1367188,6.233421406,504.8957825,819.5171509,4.305113122,0.31798203232
42,587.8870239,795.5044556,5.389672335,601.4315796,825.6665649,3.080704997,532.6104126,819.5581665,6.374386163,595.4963989,814.6209106,5.437929781,506.7061462,814.8147583,5.038840436,0.25321533712
43,592.9249878,795.9065552,5.053984965,608.3407593,826.0352783,6.919011021,536.5151978,818.5706177,4.027728864,600.6374512,811.2999878,6.120371458,512.0625,808.8066406,8.049099552,0.3017019586
44,600.0319824,794.4465332,7.25541431,613.1535645,828.4907227,5.402989964,543.545105,815.8389893,7.541975168,604.4511719,810.5863037,3.879924042,514.2138062,805.5731201,3.88378334,0.27964086824
45,606.203125,795.1296387,6.20883514,617.3967285,829.9790039,4.496601199,546.4735718,815.4442139,2.954956072,608.7519531,810.1297607,4.324945184,518.4165039,802.4144897,5.257339083,0.23242676677999996
46,613.1776123,794.9277954,6.977407389,622.4058838,829.3654175,5.046595373,551.1707153,814.0163574,4.909371813,611.3602905,809.5580444,2.670259078,521.9141846,799.3347168,4.660340272,0.24263973924999999
47,620.2091064,795.473877,7.052667219,625.9328613,830.5921631,3.734230221,557.0630493,812.0932007,6.19823617,617.3527222,810.7003784,6.100341294,527.2449341,794.7558594,7.027291487,0.30112766391
48,626.5602417,797.567627,6.687354341,629.9058838,830.8892822,3.984116873,559.7419434,811.9788818,2.681332149,621.3850708,813.4879761,4.902095082,531.0515747,792.411377,4.470694652,0.22725593096999996
