Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red,Va
0,921.8557129,675.9227905,,468.1203308,1015.167725,,471.4211731,966.3290405,,458.766571,995.1315308,,513.781311,958.7030029,,0.0
1,923.2703857,672.9971924,3.249680566,467.9488831,1017.717285,2.555318633,472.2108154,966.5135498,0.8109122573,462.2583923,999.9391479,5.941885133,464.8698425,1004.227051,6.818939562,0.193767361513
2,928.4645996,669.1235962,6.479552851,466.7749634,1018.201782,1.269970402,473.0129089,966.7686768,0.8416910088,465.7894897,1010.10199,10.75881045,468.717926,1016.908386,13.25232113,0.326023458418
3,931.1236572,666.1848755,3.963163734,457.1771851,1001.834106,1.974144491,473.0202942,969.5162354,2.747568519,465.8763428,1012.514709,2.414282487,469.2520752,1021.024963,4.151086937,0.15250246168
4,523.0170288,971.1867065,5.094871314,468.3765869,1033.845703,3.391414047,470.9395142,972.3504639,3.516034245,483.4454651,978.7437744,3.067704339,472.4213562,1032.416748,11.82442811,0.26894452055
5,947.4766235,650.1942749,5.321673503,519.1506958,997.3323364,2.539875927,464.5949402,975.515564,7.090238187,473.5498962,984.25177,11.32520633,520.3825073,990.4650269,3.719847206,0.29996841153000003
6,487.7112732,1018.747498,5.892500787,480.3952942,1009.754333,4.06975081,461.0367126,978.5391235,4.669357097,469.168396,991.072876,8.107097561,523.2893066,992.9083862,3.797300001,0.26536006256
7,486.0559082,1025.804321,7.248378744,472.0468445,1017.893921,11.65973823,458.0856934,979.8773193,3.240259686,466.8014526,994.6296387,4.272350844,526.1696167,987.1149292,6.469955982,0.3289068348600001
8,484.8669739,1031.218262,5.542951904,468.8746033,1020.655212,4.205691985,453.3247375,982.1397095,5.271158256,464.3992615,997.8681641,4.032191598,528.9151001,984.3502808,3.896275154,0.22948268897000001
9,482.2398987,1035.164673,4.740852762,465.4184265,1025.17334,5.688464939,448.2776794,983.2722778,5.172572533,458.3531189,1003.471802,8.243579046,533.0102539,980.4387817,5.663047707,0.29508516987000005
10,480.8413696,1043.609375,8.559724171,464.0840759,1029.331177,4.366703481,445.1624146,985.2816772,3.707096081,456.0984192,1005.815369,3.252072656,536.1322632,978.2589111,3.807726065,0.23693322454000001
11,479.331604,1047.189819,3.885739812,461.0063171,1033.668823,5.318625404,443.6096497,988.2131958,3.317360374,454.1277466,1006.018372,1.981100885,539.6323242,972.111145,7.074281266,0.21577107740999998
12,479.3056946,1049.807251,2.617559874,458.8675232,1038.070313,4.893623119,440.9957275,989.7767944,3.045887314,452.4382324,1008.040833,2.635300048,542.2095337,970.0244141,3.316090281,0.16508460636
13,478.6975403,1056.988525,7.206979524,455.9466248,1045.15564,7.663778995,438.173584,989.7283325,2.822559619,448.2417297,1011.164978,5.231722464,544.8970947,968.3267822,3.178826539,0.26103867141000003
14,478.3723755,1059.974121,3.003250547,454.1797791,1050.021484,5.176696692,434.9315491,992.815979,4.477091822,443.0142822,1015.897522,7.05146649,546.9174194,967.9071045,2.063453736,0.21771959287
