Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red
0,521.5880127,932.6575317,,537.4736938,989.3125,,505.1716003,938.4796143,,518.0759277,962.6699829,,524.9119873,974.6165771,
1,536.4351807,936.5575562,5.35084972,538.3039551,991.5391235,2.376380878,504.2782288,939.7058716,1.517174943,525.2006836,964.2337646,7.294351197,524.1376953,978.5979004,4.055917017
2,539.4190674,940.6969604,5.102768649,537.6473999,995.1271362,3.647588217,502.9899902,941.1641846,1.945825087,521.1640625,968.4428101,5.831841315,523.4017944,981.7765503,3.262723602
3,541.8500366,935.8754272,5.399703128,534.9840698,996.1791992,2.863592785,499.2030334,945.4816284,5.742940282,513.9296875,970.8203125,7.615031156,516.8886108,984.1333008,6.926458936
4,547.3794556,934.1018677,5.806891373,530.8045044,1003.892639,8.77302245,494.79953,948.6782227,5.441420502,506.8302917,976.1860962,8.899047964,512.1553345,987.56427,5.845977684
5,552.7963257,930.0176392,6.784055162,523.6304321,1002.493591,7.309216631,491.1648254,950.8751831,4.247082842,504.1492004,977.7015381,3.079742642,508.8786926,987.8084717,3.285729179
6,558.6780396,925.3035278,7.537731995,521.7250366,1006.642212,4.565258478,488.9440308,952.7800903,2.925850396,498.3102722,977.6292725,5.839375404,503.0212097,991.1549072,6.746016374
7,564.6746826,922.1307983,6.784242072,519.2220459,1010.588745,4.673337874,486.3660889,955.6592407,3.864620471,494.5065002,976.5286865,3.959794266,498.9026794,994.0471802,5.032646861
8,571.1841431,915.7310791,9.128498325,514.28479,1011.582397,5.036252615,483.1463318,959.6223145,5.106152078,490.744812,977.0297241,3.794909358,492.2984924,993.7091064,6.612834486
9,577.222168,910.8931274,7.737151995,509.8826294,1012.080078,4.43020365,480.8551331,959.5776978,2.291633102,488.3456116,978.9075928,3.046728315,488.5057983,994.2172852,3.826587785
