Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red
22,572.9127197,985.8756104,4.904353171,521.4030762,892.1217651,2.05871734,525.4431763,1019.230164,0.941541753,483.7646484,979.5377197,1.146374667,548.512085,889.8721924,0.6137190793
23,573.7189331,982.7047729,3.27172582,522.8121948,891.5258789,1.529933259,525.0941772,1020.392212,1.213324632,484.247467,983.2240601,3.717824478,548.9994507,889.5941162,0.5611164808
24,575.4398193,976.4542847,6.483058936,525.6074219,889.2687378,3.592767773,524.2305298,1020.51532,0.8723774953,484.9120789,986.343689,3.18963844,548.3148193,888.9038696,0.9721936156
25,573.2097168,972.206543,4.797568851,526.5582275,888.7301636,1.092745899,522.4186401,1019.991211,1.886169193,485.923645,989.8267822,3.627010445,547.1177979,887.3760986,1.940861832
26,573.7314453,966.8071289,5.424561997,526.3200684,886.5673828,2.175853951,519.2946777,1017.108643,4.250687172,486.0043945,994.1821289,4.356095176,545.9902344,885.7702026,1.962218475
27,573.4036865,960.8644409,5.951719613,526.1968384,885.2988281,1.274526039,517.8724365,1017.570801,1.495446511,486.5348511,999.8226318,5.6653912,545.8069458,883.1638794,2.612760139
28,572.4434814,957.4683838,3.529192233,526.0610352,884.9397583,0.3838927636,516.0758057,1016.450439,2.117331328,486.35849,1003.421387,3.603073679,544.3521118,881.1960449,2.447225865
29,571.3070068,951.5490112,6.027482561,526.3560791,884.9232178,0.2955072228,514.1708374,1016.24823,1.915670313,487.4219055,1006.784851,3.527569284,543.4983521,878.6064453,2.726707149
30,570.404541,946.3288574,5.297589107,524.9373169,884.0063477,1.689241549,511.7300415,1016.649231,2.47351701,488.1576233,1009.050842,2.382435059,541.1349487,875.1654663,4.17444748
31,568.1694336,940.4577637,6.282153055,521.4197388,883.190979,3.610842271,510.4819946,1017.429199,1.471723986,488.7548828,1011.025513,2.063017733,537.0444336,874.598999,4.129551945
32,567.1793823,934.7310181,5.811696546,519.6791992,883.5605469,1.779342109,510.3067627,1017.667664,0.2959247867,488.5530396,1011.996765,0.9920040359,535.6848755,872.4275513,2.561949178
33,564.0319824,929.0843506,6.464594324,516.5081177,882.0482788,3.513219728,509.9639893,1017.767517,0.3570215036,489.1437988,1011.661682,0.6791738701,531.2071533,871.6325684,4.547745996
34,560.5131836,922.4417725,7.51703328,513.2626343,882.0532227,3.245487164,510.5080566,1017.585693,0.573645523,490.0388489,1013.062378,1.662246467,526.894165,871.5119019,4.314675923
35,558.2284546,916.3586426,6.498034764,514.25177,881.1400146,1.346231177,511.1146851,1018.726929,1.292445807,490.4325256,1014.096008,1.106061994,522.2089844,871.6213379,4.686458588
36,555.9903564,908.1417847,8.516210262,507.8704834,883.982666,6.985806019,511.2998657,1019.646362,0.937896589,491.2807312,1016.369751,2.426800041,517.3063965,873.4818115,5.243732465
37,554.3338013,902.4575195,5.920730123,502.151947,886.9237061,6.430503464,511.5374451,1021.264771,1.635753361,491.2829895,1018.130676,1.760926741,514.414978,873.9732666,2.932887449
38,551.0372314,895.8765869,7.360437943,501.1579285,887.2948608,1.061050782,512.5693359,1022.8078,1.856270369,493.153656,1021.261292,3.646936374,511.4291077,875.914978,3.56169413
39,546.017334,891.4102783,6.719172789,498.0107422,890.7350464,4.662580624,512.8924561,1022.960449,0.3573629873,493.283783,1022.489258,1.234841803,509.2977295,875.5765991,2.15807164
40,540.6812744,888.017395,6.323384286,493.8926697,891.4988403,4.188305431,512.7505493,1022.916565,0.1485373763,494.7047424,1024.311768,2.310988461,505.51297,876.6676025,3.93886952
41,536.8397217,885.0863647,4.832025028,490.4971924,896.6915894,6.204345935,513.9682617,1023.242126,1.260481575,496.1691284,1025.129761,1.677360764,499.9142761,878.0755005,5.77300177
42,531.4525757,883.8912964,5.518109311,487.4819641,901.3560791,5.554193562,515.1677246,1024.741455,1.920077477,498.395813,1026.202759,2.471729958,494.8891602,878.4581299,5.039662264
43,526.4162598,883.5465698,5.048100081,483.3437195,904.6322632,5.278110528,517.487915,1025.828735,2.562315754,500.9065247,1027.516235,2.833530266,490.4020996,882.9234619,6.330316145
44,520.6851196,882.9125977,5.766098159,480.4293213,904.2033691,2.945787998,518.7949219,1026.550781,1.493190259,502.5733643,1028.553833,1.963406007,487.2919312,885.8494263,4.270177425
45,516.604248,882.02771,4.175708216,480.5557556,907.3474121,3.146584152,521.4515991,1027.170288,2.727952109,506.3521423,1030.223999,4.131418433,481.3668518,888.7659912,6.604007595
46,511.3875732,884.1077271,5.616063311,473.1399231,912.5515747,9.059684338,522.8925171,1028.134155,1.733575654,507.4964905,1030.958008,1.359522555,477.3397827,889.2672729,4.058148451
47,504.5538025,883.3059082,6.880649399,470.3458557,918.324646,6.413670139,524.8342285,1028.454224,1.967914382,510.1472778,1031.716919,2.757284842,473.5759888,892.968689,5.278884862
48,499.5033569,885.7478638,5.609825961,465.9701843,921.3900757,5.342598549,527.1451416,1026.816162,2.832589777,513.3036499,1034.587402,4.26642234,468.4898071,896.5314941,6.209897294
