scorer,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000,DLC_resnet50_7Bugs2SegmentsAug13shuffle1_30000
bodyparts,White,White,White,Pink,Pink,Pink,Yellow,Yellow,Yellow,Orange,Orange,Orange,Green,Green,Green,Blue,Blue,Blue,Red,Red,Red
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,621.255615234375,958.87255859375,0.8601134419441223,616.397216796875,942.3071899414062,0.9898555278778076,593.1949462890625,937.7717895507812,0.9964498281478882,627.34765625,1057.1829833984375,0.9987698197364807,640.3872680664062,993.1483764648438,0.9578664898872375,640.3532104492188,1016.3458862304688,0.9949474334716797,626.708740234375,977.0543212890625,0.995275616645813
1,629.1046752929688,954.0785522460938,0.9094173312187195,622.1161499023438,943.5032958984375,0.9869256019592285,597.8654174804688,935.53955078125,0.9973033666610718,630.4579467773438,1056.922607421875,0.9986171722412109,646.2586059570312,990.8226318359375,0.9870343804359436,645.6190795898438,1015.0384521484375,0.9983683228492737,630.2892456054688,975.5736694335938,0.9902239441871643
2,638.986328125,955.0274047851562,0.8238191604614258,627.14501953125,942.3292846679688,0.9930746555328369,604.5189208984375,932.5849609375,0.994956910610199,633.8770751953125,1055.7978515625,0.997205913066864,651.5755615234375,988.9536743164062,0.9688611626625061,649.3381958007812,1014.390869140625,0.9956563711166382,637.4368896484375,975.0374145507812,0.981702446937561
3,650.007568359375,956.0074462890625,0.9521053433418274,631.870849609375,941.043701171875,0.9775394201278687,610.10693359375,934.4745483398438,0.9975885152816772,637.5828247070312,1055.6544189453125,0.9856116771697998,656.3490600585938,986.6180419921875,0.9741829037666321,654.6644287109375,1015.3189086914062,0.9936659932136536,639.6923828125,974.4573364257812,0.991195559501648
4,656.6595458984375,955.0155639648438,0.950413703918457,638.1629638671875,938.46875,0.980888307094574,614.2346801757812,931.8736572265625,0.9974518418312073,641.3780517578125,1054.108154296875,0.9947211742401123,662.1420288085938,986.6384887695312,0.9806133508682251,659.373046875,1014.4866943359375,0.9979428648948669,644.805908203125,972.3489990234375,0.9882889986038208
5,663.8643798828125,954.6415405273438,0.9714211225509644,642.8349609375,939.079345703125,0.9890411496162415,620.5282592773438,928.7577514648438,0.9933985471725464,645.3602294921875,1051.0662841796875,0.9967946410179138,670.2315673828125,986.3820190429688,0.9716704487800598,663.9588012695312,1011.715576171875,0.9972981810569763,650.6097412109375,973.032470703125,0.9765408635139465
6,669.885498046875,954.1428833007812,0.9676256775856018,650.3253173828125,936.4425048828125,0.9811748266220093,624.9878540039062,930.777587890625,0.9972944855690002,649.1600341796875,1049.2060546875,0.996353268623352,673.2115478515625,986.3961791992188,0.9835588335990906,665.8494262695312,1010.7305297851562,0.9915382862091064,654.3594970703125,971.1743774414062,0.9863138198852539
7,676.5079345703125,954.4363403320312,0.9853577613830566,657.0542602539062,936.077880859375,0.9911122918128967,630.9793090820312,929.0317993164062,0.9955311417579651,654.5034790039062,1048.0743408203125,0.9956532716751099,679.6871948242188,984.6431274414062,0.9890424609184265,673.4349975585938,1009.9862060546875,0.9964939951896667,659.8780517578125,972.7708129882812,0.9857105612754822
