100, 0.06481, 0.005
200, 0.01846, 0.005
300, 0.01703, 0.005
400, 0.01515, 0.005
500, 0.01431, 0.005
600, 0.01375, 0.005
700, 0.01381, 0.005
800, 0.01191, 0.005
900, 0.01161, 0.005
1000, 0.01209, 0.005
1100, 0.01138, 0.005
1200, 0.01093, 0.005
1300, 0.01038, 0.005
1400, 0.01099, 0.005
1500, 0.01067, 0.005
1600, 0.00974, 0.005
1700, 0.00975, 0.005
1800, 0.00941, 0.005
1900, 0.00898, 0.005
2000, 0.00977, 0.005
2100, 0.00848, 0.005
2200, 0.00879, 0.005
2300, 0.00859, 0.005
2400, 0.00842, 0.005
2500, 0.00817, 0.005
2600, 0.00820, 0.005
2700, 0.00778, 0.005
2800, 0.00797, 0.005
2900, 0.00757, 0.005
3000, 0.00710, 0.005
3100, 0.00741, 0.005
3200, 0.00793, 0.005
3300, 0.00720, 0.005
3400, 0.00703, 0.005
3500, 0.00726, 0.005
3600, 0.00731, 0.005
3700, 0.00725, 0.005
3800, 0.00693, 0.005
3900, 0.00662, 0.005
4000, 0.00635, 0.005
4100, 0.00671, 0.005
4200, 0.00694, 0.005
4300, 0.00670, 0.005
4400, 0.00649, 0.005
4500, 0.00638, 0.005
4600, 0.00653, 0.005
4700, 0.00635, 0.005
4800, 0.00633, 0.005
4900, 0.00559, 0.005
5000, 0.00616, 0.005
5100, 0.00612, 0.005
5200, 0.00606, 0.005
5300, 0.00594, 0.005
5400, 0.00611, 0.005
5500, 0.00594, 0.005
5600, 0.00557, 0.005
5700, 0.00575, 0.005
5800, 0.00573, 0.005
5900, 0.00627, 0.005
6000, 0.00574, 0.005
6100, 0.00547, 0.005
6200, 0.00549, 0.005
6300, 0.00558, 0.005
6400, 0.00565, 0.005
6500, 0.00540, 0.005
6600, 0.00519, 0.005
6700, 0.00536, 0.005
6800, 0.00522, 0.005
6900, 0.00501, 0.005
7000, 0.00501, 0.005
7100, 0.00488, 0.005
7200, 0.00479, 0.005
7300, 0.00509, 0.005
7400, 0.00519, 0.005
7500, 0.00509, 0.005
7600, 0.00517, 0.005
7700, 0.00472, 0.005
7800, 0.00483, 0.005
7900, 0.00477, 0.005
8000, 0.00454, 0.005
8100, 0.00476, 0.005
8200, 0.00480, 0.005
8300, 0.00481, 0.005
8400, 0.00490, 0.005
8500, 0.00452, 0.005
8600, 0.00488, 0.005
8700, 0.00472, 0.005
8800, 0.00473, 0.005
8900, 0.00503, 0.005
9000, 0.00440, 0.005
9100, 0.00457, 0.005
9200, 0.00456, 0.005
9300, 0.00465, 0.005
9400, 0.00431, 0.005
9500, 0.00464, 0.005
9600, 0.00473, 0.005
9700, 0.00471, 0.005
9800, 0.00475, 0.005
