Coords,White_x,White_y,Velocity_White,Pink_x,Pink_y,Velocity_Pink,Yellow_x,Yellow_y,Velocity_Yellow,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Blue_x,Blue_y,Velocity_Blue,Red_x,Red_y,Velocity_Red,Va
0,510.8730773925781,1135.6304931640625,,504.23345947265625,1120.3511962890625,,636.8115844726562,1058.8260498046875,,560.5090942382812,1058.5677490234375,,524.966064453125,1145.5789794921875,,550.3780517578125,1149.174560546875,,649.09716796875,1079.77978515625,,0.0
1,508.8621520996094,1136.4456787109375,2.169872809575563,500.5463562011719,1122.5556640625,4.295859483120377,631.91796875,1059.241943359375,4.9112566915056535,558.225830078125,1060.7877197265625,3.1845824134079703,524.6428833007812,1146.475830078125,0.9533032207680152,547.1009521484375,1149.350341796875,3.2818106126980178,647.5296630859375,1077.5555419921875,2.721089710119788,0.1536983924371099
2,507.0281982421875,1138.4542236328125,2.7198601902197885,499.6141357421875,1125.5020751953125,3.0903678660817198,627.1185913085938,1060.133056640625,4.8814041735037,553.8794555664062,1064.81005859375,5.922008220072446,520.5411376953125,1145.727294921875,4.169487005870676,543.55029296875,1151.5313720703125,4.167022157842452,643.697509765625,1073.9234619140625,5.279905753353427,0.21592896690674432
3,507.7036437988281,1139.59765625,1.328030440175909,497.1683044433594,1126.771728515625,2.7557413333090297,622.11279296875,1061.0606689453125,5.091019702082295,550.3215942382812,1066.9859619140625,4.170483483903797,519.60498046875,1147.7725830078125,2.249354064464524,540.0762329101562,1151.599853515625,3.474734953786907,640.1431274414062,1072.05419921875,4.015940329587285,0.16489503076649817
4,505.8499450683594,1141.691650390625,2.79660695206053,496.0906982421875,1126.714599609375,1.0791194728728608,619.3515014648438,1066.479736328125,6.082024504143925,546.6624755859375,1067.9407958984375,3.781647425348823,517.8705444335938,1149.0194091796875,2.136081427034325,538.8828125,1151.9273681640625,1.2375451993033026,636.2969360351562,1069.1982421875,4.790582313023926,0.15645433781276924
5,503.7874755859375,1143.310546875,2.6219470233098328,495.3849792480469,1128.455810546875,1.878790788661815,614.4828491210938,1068.185546875,5.158833711812425,541.5922241210938,1069.337158203125,5.259018691990206,513.9932861328125,1151.4586181640625,4.580706539436119,534.80810546875,1154.0155029296875,4.578596312182366,632.4512939453125,1067.2596435546875,4.3066376376844495,0.20274664789340865
6,501.5496826171875,1145.3094482421875,3.000553956643839,492.07763671875,1133.6533203125,6.160569971184736,611.8529052734375,1075.57177734375,7.840472254865507,538.8544921875,1069.1148681640625,2.7467415243676245,511.4302673339844,1152.532470703125,2.7788891015651096,529.85595703125,1157.4407958984375,6.021329260952426,627.1411743164062,1067.5562744140625,5.318398287081271,0.24190681683328938
7,499.1768493652344,1148.2828369140625,3.8041264221380735,488.8357238769531,1134.804931640625,3.4403789798325004,609.2938232421875,1078.943115234375,4.232590225314807,534.80029296875,1069.5888671875,4.081814103990138,510.1857299804688,1154.5750732421875,2.39188176063954,527.2280883789062,1159.75146484375,3.499269156381449,622.7572021484375,1067.9033203125,4.39768721320047,0.18462677043926412
8,493.0381774902344,1151.427978515625,6.897478385815728,488.2819519042969,1136.2230224609375,1.5223813491875726,604.8272705078125,1085.1759033203125,7.66796848279629,531.494140625,1070.438232421875,3.413512065519692,506.5625,1159.202392578125,5.877063869663921,525.8363647460938,1162.30712890625,2.910036678545964,617.6316528320312,1064.6134033203125,6.090550846220449,0.2455642262696401
9,491.3860778808594,1153.3590087890625,2.541320726753932,484.2726135253906,1137.5289306640625,4.216656314137988,601.4456787109375,1091.294677734375,6.991034502194807,526.5617065429688,1071.5489501953125,5.05594698803433,505.1219177246094,1161.7139892578125,2.89540932746769,523.0808715820312,1162.3878173828125,2.7566743020250226,610.2241821289062,1061.422119140625,8.065662832847583,0.2323050356675811
10,492.0640258789063,1154.1761474609375,1.061757551011285,482.11279296875,1139.569091796875,2.971040606374508,600.2487182617188,1098.0560302734375,6.866483996521136,523.1536865234375,1072.48583984375,3.53445365889484,502.9165954589844,1162.184814453125,2.2550216539542225,519.4837646484375,1164.368408203125,4.1063266174543855,605.853515625,1060.3150634765625,4.508691376852151,0.18074125329330376
11,489.29693603515625,1155.13525390625,2.928595461449856,480.4427490234375,1142.42724609375,3.3103010080685964,599.7327270507812,1108.2535400390625,10.210555927557618,518.6168823242188,1074.3262939453125,4.895902740252007,499.20458984375,1163.58056640625,3.965741948511499,514.587890625,1168.9189453125,6.684083365516103,601.0028076171875,1060.6451416015625,4.861925518316774,0.26326504264051753
12,484.3435974121094,1160.821044921875,7.540807847169286,474.8597717285156,1143.354248046875,5.659414112495281,596.3626708984375,1113.6380615234375,6.352192541606867,514.7997436523438,1075.6170654296875,4.029471263726704,495.061767578125,1168.78759765625,6.654032669219082,513.2586669921875,1173.34912109375,4.625288414661437,595.2130126953125,1059.7159423828125,5.863884073333574,0.29089350658723023
13,480.9469299316406,1163.014404296875,4.0432876871148205,471.6656494140625,1147.7557373046875,5.4383384453641925,591.848876953125,1116.7872314453125,5.50378115276961,511.9271240234375,1076.7889404296875,3.102456212100741,492.7184143066406,1171.4776611328125,3.5675966788458653,511.8743286132813,1175.10107421875,2.232875388262832,589.6469116210938,1061.19677734375,5.759718165844045,0.2117718123593008
14,479.0106506347656,1162.577392578125,1.984982810462492,466.136474609375,1151.6234130859375,6.747643290042743,585.1784057617188,1124.1185302734375,9.911767169513604,508.1959838867188,1079.435302734375,4.574345873182757,490.8775939941406,1173.149658203125,2.4868038977865106,509.7302551269531,1177.2330322265625,3.023623002599915,584.263671875,1064.0562744140625,6.095571643336601,0.24874812633517585
15,477.6864929199219,1166.160888671875,3.8203190845401553,461.6339416503906,1153.1878662109375,4.766583328450564,580.4989624023438,1128.2154541015625,6.219483500022907,503.5735473632813,1081.1009521484375,4.9133804436228745,490.5064697265625,1173.7677001953125,0.7209085421136953,507.84375,1179.2208251953125,2.7404785130762046,577.8302612304688,1065.204345703125,6.535047069909874,0.2122585748695448
16,473.20513916015625,1168.9619140625,5.284720878068343,458.8845825195313,1156.55078125,4.3437510506925054,576.7261962890625,1130.36181640625,4.340580063598268,499.7550354003906,1082.62646484375,4.1119609183817465,485.28118896484375,1176.83642578125,6.059755420854503,506.2976989746094,1179.64697265625,1.6037067785523889,571.2203369140625,1067.2001953125,6.904673426879867,0.23320820383591162
17,467.72509765625,1174.086181640625,7.502597756561265,455.2949523925781,1161.974365234375,6.503899421416272,571.2797241210938,1130.338134765625,5.44652365243748,493.31060791015625,1084.771240234375,6.7919590070258185,481.23443603515625,1179.768310546875,4.997214979649997,502.1383666992188,1182.6378173828125,5.123006651909833,567.8773193359375,1068.2999267578125,3.51925784498122,0.2848889950998706
18,463.4874267578125,1178.215087890625,5.916563315367558,453.4806518554688,1164.3887939453125,3.020124573449658,564.9578247070312,1132.839599609375,6.798804201184279,492.4367370605469,1084.571533203125,0.8964001116285626,477.827880859375,1182.0137939453125,4.080050717613746,499.3006286621094,1187.1534423828125,5.333256632479136,562.6361083984375,1069.0933837890625,5.30093068732366,0.22390093027890426
19,460.4665222167969,1179.44287109375,3.260876544704615,452.2305603027344,1166.8565673828125,2.766339572259441,558.4722900390625,1137.8814697265625,8.214780228832225,488.4497680664063,1087.1629638671875,4.755148225542676,475.86669921875,1185.32666015625,3.849846225383029,495.7689208984375,1190.6409912109375,4.96346215423632,558.0314331054688,1069.48681640625,4.621452561472838,0.23165646794593672
20,462.0330810546875,1182.6578369140625,3.5763265816128778,447.9548034667969,1168.3658447265625,4.534315231699635,553.6298828125,1145.4288330078125,8.967251543646219,484.7444458007813,1089.3714599609375,4.313567906993629,475.082763671875,1186.5142822265625,1.423025341850086,493.081787109375,1192.5257568359375,3.2822293432213154,553.8584594726562,1067.9027099609375,4.463530236284836,0.21828747275220425
21,457.30474853515625,1184.5694580078125,5.100139568808552,445.359619140625,1171.10791015625,3.775434346865995,547.048095703125,1146.4212646484375,6.656188257137004,479.7643127441406,1091.9735107421875,5.6189317071885645,473.0582885742188,1189.033935546875,3.2322054816474552,489.2612915039063,1193.0274658203125,3.8532971046116073,549.177490234375,1069.0145263671875,4.811196185039851,0.2360528046521359
22,453.8280334472656,1187.011474609375,4.248646006043947,445.00238037109375,1172.824951171875,1.7538099634209896,541.7124633789062,1150.89892578125,6.965516601053198,475.9388732910156,1095.0404052734375,4.903042838415392,468.91259765625,1191.3975830078125,4.772167485213123,485.7693481445313,1195.491455078125,4.273746773932512,544.7689208984375,1070.2197265625,4.570338182295671,0.22490905607410594
23,451.6983337402344,1190.52734375,4.110590791617206,442.0605163574219,1175.1439208984375,3.745955748223803,535.5697631835938,1159.220458984375,10.34314654929553,474.9773559570313,1095.9090576171875,1.2957902908475116,464.0427856445313,1195.5885009765625,6.424862835132847,482.3358459472656,1199.0084228515625,4.915078804864291,537.1580810546875,1070.2293701171875,7.610845953332621,0.2746162212379558
24,446.0621948242188,1194.60498046875,6.956520904210913,437.078125,1180.2303466796875,7.120108908343809,530.9359130859375,1161.45849609375,5.146005910459921,469.8689880371094,1099.69384765625,6.357677126519893,459.8689880371094,1198.44287109375,5.0564824961245565,480.34716796875,1201.52099609375,3.2043508546333683,533.9581298828125,1070.4300537109375,3.206237889986425,0.2646241720734206
25,440.7701416015625,1194.017578125,5.324553392057402,433.8201293945313,1182.4365234375,3.934685661138052,525.5084838867188,1160.410400390625,5.527702263639148,468.5215148925781,1099.58544921875,1.3518262079444148,458.91351318359375,1199.192138671875,1.2142216022333023,479.3759765625,1204.4576416015625,3.093072838801115,529.43505859375,1072.793701171875,5.103430533037341,0.18249637499179125
26,438.88519287109375,1196.4520263671875,3.0788910276892816,431.4678039550781,1184.7127685546875,3.273335730813224,518.1309204101562,1161.4549560546875,7.45114349519817,465.6294555664063,1103.9114990234375,5.203721174191998,454.90374755859375,1202.279296875,5.060510462251177,476.6455383300781,1206.903076171875,3.665439015827514,521.8277587890625,1074.960693359375,7.909921962894736,0.2545925919204721
27,435.82366943359375,1197.6785888671875,3.2980875253346547,428.3660278320313,1186.2926025390625,3.48093242331556,513.5357666015625,1163.6373291015625,5.087061100513745,462.791015625,1106.04638671875,3.5516878765690203,450.1271667480469,1205.8843994140625,5.984353645703061,474.3596496582031,1207.248046875,2.311772438243221,517.7796630859375,1074.2740478515625,4.105917787177208,0.19871294854897475
28,431.54779052734375,1200.6265869140625,5.193633882484644,424.33050537109375,1188.999267578125,4.859164245671751,507.988525390625,1165.3621826171875,5.809217219444222,458.9219970703125,1108.2896728515625,4.47231900138899,446.4768676757813,1209.7401123046875,5.309539077162411,470.4466857910156,1209.466796875,4.498237186767162,513.111572265625,1076.5445556640625,5.19098041157057,0.25237922160349824
29,427.3268432617188,1203.65380859375,5.194272510867783,420.0027770996094,1192.5367431640625,5.589540724684721,502.42138671875,1165.6971435546875,5.577206453192944,455.6896667480469,1111.03271484375,4.239367722095096,442.8052673339844,1208.4224853515625,3.900870397422198,466.9495544433594,1210.887451171875,3.774676978761152,507.3630981445313,1079.2281494140625,6.344023182170993,0.24728541406567775
30,424.9164733886719,1206.2264404296875,3.5253818925290115,416.6152648925781,1195.63916015625,4.5934986825076445,497.1350708007813,1171.761474609375,8.044951654635122,452.8482971191406,1113.0001220703125,3.456019757351105,439.0974731445313,1212.8623046875,5.78443890858106,462.1392211914063,1213.36279296875,5.409863492381461,503.7687683105469,1079.3631591796875,3.5968645501720897,0.24579299241541064
31,421.6099243164063,1208.1131591796875,3.8069639358551655,412.6944885253906,1197.94580078125,4.548964529911879,491.1153259277344,1168.3995361328125,6.894922672283294,448.3963012695313,1116.4110107421875,5.6084247857008656,434.5774536132813,1214.205322265625,4.715323189139236,460.83349609375,1215.968017578125,2.9141230749477094,497.9429931640625,1079.65478515625,5.833069669359443,0.24515565612283996
32,418.0770263671875,1211.2391357421875,4.71731887716887,409.3273315429688,1199.9134521484375,3.89992282578346,483.59661865234375,1171.90283203125,8.294820145429371,446.3493347167969,1117.8604736328125,2.508189534168513,430.8873291015625,1216.8079833984375,4.515624417978184,457.8953857421875,1218.58837890625,3.936849746674584,494.8892517089844,1082.6400146484375,4.270472104520612,0.22959426894088283
33,415.6701965332031,1212.3372802734375,2.6455153111013243,407.3486022949219,1202.10009765625,2.949031707851403,477.67822265625,1167.7562255859375,7.226462217356824,443.14947509765625,1118.891357421875,3.36181840210899,426.6295166015625,1217.025634765625,4.26337183492067,451.5386657714844,1222.27197265625,7.346887211668286,489.2981567382813,1084.71923828125,5.965191856651985,0.2411305610118534
34,411.084228515625,1215.25390625,5.434869800225999,402.2556762695313,1205.789794921875,6.289019113666389,471.7299499511719,1166.089111328125,6.177476679242032,439.4370727539063,1121.9117431640625,4.785881443735272,423.6506652832031,1219.4854736328125,3.8632062369769584,447.61468505859375,1223.5284423828125,4.120235528329134,484.4046630859375,1085.2105712890625,4.918098031769518,0.2542056202424664
35,407.8068237304688,1217.4339599609375,3.93624393404894,398.6006774902344,1206.41162109375,3.7075172103027088,465.6120300292969,1165.5911865234375,6.138149011029147,435.4988098144531,1124.57763671875,4.75572322840541,419.1912841796875,1222.503662109375,5.384750830488529,444.1441345214844,1225.01806640625,3.776731491889819,481.9065856933594,1084.2347412109375,2.681908835267032,0.21700731815308275
36,402.8569641113281,1218.69140625,5.107081497203328,394.942138671875,1208.6219482421875,4.274394973392406,462.52734375,1164.5576171875,3.253237620259652,429.4556579589844,1127.9700927734375,6.930255581956648,415.23382568359375,1224.1026611328125,4.268287200418768,441.6036376953125,1226.4189453125,2.9011352663682484,474.2833557128906,1085.5570068359375,7.737055106316241,0.24622462318510924
37,397.46978759765625,1219.725341796875,5.485498473662131,389.8208923339844,1211.193115234375,5.730450571732789,458.5139770507813,1160.874755859375,5.447070756341998,426.1085205078125,1128.6331787109375,3.4121858210753424,410.473388671875,1224.1612548828125,4.760797598100639,436.5681457519531,1226.3153076171875,5.036558337151161,470.1932678222656,1086.6502685546875,4.233679267341997,0.24361600589575752
38,392.7511901855469,1221.89013671875,5.191483274685673,385.3208312988281,1212.0460205078125,4.580174311703544,454.92681884765625,1160.1944580078125,3.6510969777709192,420.3899841308594,1132.2557373046875,6.769386165649597,407.1495056152344,1227.9979248046875,5.076242179372744,431.7955627441406,1228.89404296875,5.42470502238221,465.726806640625,1088.981201171875,5.038107020793737,0.25522282108827443
39,390.0278930664063,1224.1102294921875,3.5135678621294235,379.9930725097656,1212.6431884765625,5.361121458923844,450.2430114746094,1156.966796875,5.688220099123868,415.6642150878906,1134.1771240234375,5.101433129079579,403.3150329589844,1228.8751220703125,3.9335296610485737,427.8369140625,1230.701416015625,4.351723418971532,461.12591552734375,1090.3173828125,4.790989502494625,0.23386132236979604
40,386.5160827636719,1225.197998046875,3.676418369957184,377.14788818359375,1214.6968994140625,3.5089603110752385,443.82861328125,1149.6341552734375,9.74228602741354,412.5849914550781,1132.9873046875,3.3011040930333846,397.3517150878906,1229.8770751953125,6.04690582830619,425.1216430664063,1231.3331298828125,2.787787472571147,455.685546875,1090.59521484375,5.447458279876318,0.24650657415880717
41,381.3211364746094,1226.459228515625,5.34585533301712,373.6476440429688,1216.9527587890625,4.164205874324016,438.7702331542969,1145.5814208984375,6.481656071025441,407.6183471679688,1133.5084228515625,4.993908250618096,392.8353576660156,1230.2421875,4.531091629746591,418.9805908203125,1233.49462890625,6.510345668055964,450.180908203125,1093.998046875,6.4715000379203245,0.274989734747911
42,375.8396606445313,1226.870849609375,5.496909058784763,369.0441589355469,1217.60400390625,4.649322029814248,433.7466735839844,1143.811279296875,5.3263075433231,402.4225158691406,1135.3035888671875,5.497206918930512,389.4734191894531,1231.3310546875,3.5338735223838365,415.1387023925781,1235.9254150390625,4.546298265031987,445.6747741699219,1095.4603271484375,4.73745791783694,0.24133839468646703
43,372.8294982910156,1227.547607421875,3.0853003956345733,364.0159606933594,1216.74267578125,5.101437415244206,429.34033203125,1137.4613037109375,7.729038479743511,397.964111328125,1136.7056884765625,4.673676750264001,383.8785400390625,1233.881591796875,6.148813889993313,412.0816040039063,1235.37158203125,3.1068604021684765,441.8177185058594,1097.0283203125,4.16358991235008,0.24291940889570113
44,368.5093994140625,1228.2049560546875,4.369823970334745,359.87677001953125,1217.29150390625,4.1754175533827445,426.41595458984375,1133.8956298828125,4.611508784376471,393.1066589355469,1137.552001953125,4.930627774104861,380.12152099609375,1234.714111328125,3.848152915249411,407.1286315917969,1237.454345703125,5.373066184963606,435.3456726074219,1099.842529296875,7.057418105739424,0.24547153777250905
45,362.3370971679688,1230.440673828125,6.564735255865052,356.0812683105469,1217.2196044921875,3.796182654805461,422.5157165527344,1128.259033203125,6.854420389469772,388.72552490234375,1139.9931640625,5.015337262950407,374.3242492675781,1235.994873046875,5.93706241119815,401.7659912109375,1240.022705078125,5.945955073289233,432.1618957519531,1101.0120849609375,3.3917982718256043,0.26789636656716914
46,356.35772705078125,1231.4119873046875,6.057748498251431,350.77691650390625,1217.643798828125,5.321286397409288,418.8367309570313,1126.4874267578125,4.083322716913696,385.1348571777344,1141.6378173828125,3.949402391826692,370.0533752441406,1239.12939453125,5.297696656102695,398.8181762695313,1241.1121826171875,3.1427017416387573,428.4364929199219,1100.52587890625,3.75699648502913,0.22577967776551205
47,351.6127624511719,1231.74267578125,4.7564738956581465,345.9036865234375,1216.427734375,5.022666940649525,412.9757080078125,1119.5494384765625,9.082250349006674,381.1654052734375,1145.208984375,5.339455225640122,365.56591796875,1240.0849609375,4.5880693058420325,395.4841613769531,1240.3951416015625,3.410249715493227,422.0263671875,1102.24560546875,6.636804302917568,0.27739978382290925
48,346.5395202636719,1229.4058837890625,5.585551280561428,342.04132080078125,1216.7257080078125,3.87384269962029,409.4744873046875,1117.5191650390625,4.047290036927078,378.5813903808594,1148.5706787109375,4.24006152942853,359.7557983398437,1241.6627197265625,6.020532609218749,388.0406799316406,1241.4796142578125,7.522067333444005,416.8788757324219,1101.8870849609375,5.15996174739934,0.26035219454713876
49,342.5651550292969,1229.34423828125,3.9748432906017954,338.3610534667969,1218.5299072265625,4.098719613553794,403.9800415039063,1114.0435791015625,6.501433093301033,378.02490234375,1151.498291015625,2.98003233908686,354.27508544921875,1242.374267578125,5.526709159574587,383.3818054199219,1243.306640625,5.004311847031615,411.9937133789063,1102.1199951171875,4.890711437111186,0.23554829128757768
50,336.3162536621094,1230.0418701171875,6.287722837033399,333.9781188964844,1218.196533203125,4.395594804704288,398.7009887695313,1113.380126953125,5.320579529109446,376.1073303222656,1155.6163330078125,4.542615139652408,348.38299560546875,1242.94921875,5.920075301620946,379.0788269042969,1244.7529296875,4.539534795354856,406.59576416015625,1102.900634765625,5.45410432875252,0.26043019097305614
51,331.2989807128906,1228.9219970703125,5.140733749969873,326.89776611328125,1215.7640380859375,7.486549808139479,391.7386474609375,1115.0506591796875,7.159949330640237,371.8958435058594,1159.251953125,5.563663796569855,345.7585754394531,1241.640625,2.932575456885729,373.7183532714844,1245.671875,5.438670614722293,401.4754028320313,1102.41455078125,5.143381938999213,0.27761089068519057
52,325.15924072265625,1228.8712158203125,6.139949990271481,324.9516906738281,1217.8646240234375,2.863506748178783,387.0384216308594,1114.0958251953125,4.796230894301382,368.3185119628906,1162.2757568359375,4.684089009679318,340.0922241210937,1242.730712890625,5.770253796182707,369.7561950683594,1246.208984375,3.9983976924892826,397.8131713867188,1101.927490234375,3.694477924600153,0.22819218611216505
