Coords,White_x,White_y,Velocity_White,Pink_x,Pink_y,Velocity_Pink,Yellow_x,Yellow_y,Velocity_Yellow,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Blue_x,Blue_y,Velocity_Blue,Red_x,Red_y,Velocity_Red,Va
0,479.772705078125,1010.9844360351562,,555.8333740234375,993.3131713867188,,502.3066711425781,1039.09912109375,,509.9421081542969,1002.6473999023438,,525.71826171875,997.3927612304688,,501.65863037109375,1007.0186157226562,,534.991455078125,991.2053833007812,,0.0
1,478.874755859375,1004.849853515625,6.199952861787912,554.4439697265625,990.30712890625,3.311606210671406,495.6977844238281,1033.86083984375,8.433088053339162,511.1687927246094,1000.09619140625,2.8307984431223105,524.1886596679688,993.8441772460938,3.864211527325718,499.3185424804688,1002.3997802734376,5.177803804974482,531.6678466796875,991.4983520507812,3.336495687789937,0.23681397563579232
2,478.048583984375,1000.2373657226562,4.685894109700596,553.0057373046875,985.864013671875,4.670094804740868,492.97265625,1028.343994140625,6.153203237004332,509.1904602050781,996.3894653320312,4.201620847616788,524.7573852539062,988.699462890625,5.176053959481701,498.9374694824219,998.9054565429688,3.515041246295456,530.852783203125,985.7471313476562,5.808689012753202,0.2443614086970924
3,477.5025024414063,993.69091796875,6.56918436689025,550.4788208007812,978.8700561523438,7.4364473240063695,490.4214782714844,1024.0784912109375,4.970213709815274,508.0710144042969,991.8085327148438,4.715729269593314,520.44677734375,983.9033813476562,6.44854547335344,496.985595703125,994.8795776367188,4.474093452096789,531.5853271484375,980.4247436523438,5.372562834535107,0.2856198316449325
4,476.5875854492188,990.5198974609376,3.3003703070352794,550.3578491210938,974.5735473632812,4.298211479415331,488.2991027832031,1019.4877319335938,5.057622806791229,507.7096862792969,987.205810546875,4.6168830794624816,520.9943237304688,982.6153564453124,1.3995767912718038,494.9145202636719,991.9752807617188,3.56711281207095,533.7958984375,974.4586181640624,6.362489981599027,0.20430190898318643
5,474.111083984375,984.826416015625,6.208767226550898,548.9090576171875,969.9699096679688,4.826228014867628,486.1676330566406,1016.3756103515624,3.7720636177824223,506.2837219238281,982.1380615234376,5.264546942294084,521.378173828125,976.7974243164062,5.830581030568824,494.29681396484375,987.5684204101562,4.449941486108048,531.8375244140625,972.521484375,2.754580935896054,0.23647649467191398
6,474.771728515625,979.4240112304688,5.442649047968248,548.5904541015625,965.35107421875,4.629810914835333,484.4634399414063,1012.1222534179688,4.582064968828041,506.2603149414063,980.2952270507812,1.8429831199543727,517.33642578125,971.723388671875,6.487030522233693,495.1526489257813,985.2911987304688,2.432733454121464,533.4725952148438,967.0189208984376,5.740353764112955,0.2225544699432436
7,473.89892578125,972.6543579101562,6.825686096675596,548.5916137695312,960.9388427734376,4.412231597710305,481.3967895507813,1004.7713623046876,7.964919634097764,507.6319274902344,975.6090087890624,4.882823218238604,519.4502563476562,968.4733276367188,3.87700611241642,493.2723083496094,981.57763671875,4.162478047663339,533.9096069335938,959.7205810546876,7.311411882611566,0.28168968992438276
8,472.2425537109375,966.7625122070312,6.120246255237108,550.4699096679688,955.716064453125,5.55026205374256,479.9752502441406,997.5488891601562,7.361038807383183,507.4161071777344,970.295166015625,5.318223709858427,519.1519165039062,964.3438720703124,4.140218585690045,492.2212219238281,974.656005859375,7.000982533038767,531.5671997070312,956.7159423828124,3.809819571000752,0.28071993939964884
9,471.0079345703125,961.5198364257812,5.386087055525831,550.3504028320312,950.1478881835938,5.569458578031328,479.3849792480469,989.1373291015624,8.432245398952826,506.6769714355469,968.830322265625,1.6407586224954385,519.4326171875,959.2198486328124,5.1317062524875015,494.19537353515625,972.2794189453124,3.089569540341031,527.5797119140625,953.6832275390624,5.009732350393221,0.2447111271301941
10,470.8309020996094,956.2305297851562,5.292268439359721,550.8284301757812,944.669189453125,5.49951360763955,477.2008056640625,985.3399047851562,4.380758574015208,503.247802734375,964.3899536132812,5.610353977229409,515.0455932617188,953.261474609375,7.399202654918336,493.1048278808594,968.4520263671876,3.979726595030165,529.1573486328125,945.7257690429688,8.11234142115586,0.28767260906677317
11,471.1640930175781,949.4419555664062,6.796745994319196,551.3058471679688,942.36181640625,2.3562464560980416,474.7344055175781,977.5430297851562,8.177676286586744,502.4089050292969,959.90771484375,4.560067296287891,517.222412109375,949.7360229492188,4.143350058058086,493.7395629882813,963.6871337890624,4.806983455106415,531.6517333984375,939.918212890625,6.3205746433064,0.26544031564116266
12,473.4483642578125,942.3640747070312,7.437357901732905,552.1714477539062,938.0474853515624,4.400308719148837,474.99945068359375,973.7086791992188,3.843500143867241,505.3206787109375,955.2574462890624,5.486658692119588,518.5054321289062,945.2601318359376,4.6561509456274095,490.0167541503906,959.6968994140624,5.457222371399998,528.0578002929688,936.6869506835938,4.832950508454718,0.2579582091596478
13,477.5896606445313,937.9447021484376,6.056499779105148,552.932373046875,932.4088745117188,5.689722269556023,473.0351257324219,967.3914794921876,6.615556261744787,506.6722106933594,951.2786865234376,4.202043309160877,518.8365478515625,939.6498413085938,5.620053151260623,488.4375915527344,955.7105102539062,4.287779500632791,528.571533203125,930.3541870117188,6.353567283565772,0.27732301110732877
14,481.5245971679688,933.6826171875,5.800783883039686,554.683349609375,928.8494873046876,3.9667563842516502,472.3859252929688,961.0674438476562,6.357270486921984,505.7007446289063,948.557861328125,2.8890545266283665,518.9052124023438,936.8882446289062,2.762450188111093,489.6930541992188,954.2532348632812,1.923496301228297,530.2596435546875,924.812744140625,5.792866790514712,0.21066198971925565
15,481.81005859375,927.3729248046876,6.316146466899709,555.0529174804688,926.5090942382812,2.369392351770333,469.6749877929688,954.0628662109376,7.5108781109618,505.391845703125,945.4090576171876,3.163918987009924,520.1312866210938,931.0409545898438,5.974450501159329,487.90673828125,950.05810546875,4.559609105575704,527.5535278320312,920.7830810546876,4.853992881182849,0.2482027743182832
16,482.8928527832031,923.164794921875,4.345204295235605,556.6116943359375,921.1137084960938,5.61604599270209,473.466552734375,950.3685913085938,5.293735142504611,506.3441467285156,941.3043212890624,4.213755755426625,521.0107421875,925.809814453125,5.304551745743725,490.8937683105469,945.8067626953124,5.195792891675102,527.0343017578125,914.1666870117188,6.636736083948381,0.26147015648025806
17,484.2783508300781,914.5387573242188,8.736597133556844,556.7317504882812,917.36376953125,3.751860301206456,473.9250183105469,945.6406860351562,4.750081994990479,507.7259216308594,937.6707153320312,3.887466286891661,518.3368530273438,923.2891845703124,3.674677978670924,492.5271606445313,941.693115234375,4.426066645408281,527.1278076171875,908.538818359375,5.628645388880962,0.24896711235432573
18,483.8300476074219,908.4986572265624,6.056714040562952,556.389892578125,914.407470703125,2.975998923371722,475.4999084472656,939.626708984375,6.216767561205545,511.8958129882813,936.4097900390624,4.356366206731332,517.8056030273438,917.9081420898438,5.407203042156644,493.7494812011719,937.4517822265624,4.413952109657161,524.4404296875,905.4691772460938,4.079791257076522,0.2393342367197277
19,488.0734558105469,900.5343017578125,9.024271228800403,555.6504516601562,912.825439453125,1.7463091785657632,477.3336181640625,932.0352172851562,7.809816742074199,508.5113220214844,931.6876220703124,5.809789103695463,518.865966796875,911.7315673828124,6.2669327773061445,494.8614501953125,937.1151123046876,1.161818264714959,524.930419921875,901.1127319335938,4.383914482581303,0.258591798412416
20,492.5018615722656,893.6876831054688,8.153953921935368,553.7745361328125,908.5632934570312,4.656709949926811,477.8612060546875,927.3967895507812,4.6683359807701645,511.5520629882813,929.4534912109376,3.7732540762540494,517.03515625,909.8237915039062,2.6441399476360585,497.0324096679688,935.787109375,2.544927663642925,523.5115356445312,895.373291015625,5.912225862003858,0.23109676715835167
21,494.0447998046875,889.7284545898438,4.249252737600728,552.6854858398438,903.9554443359376,4.734797151238764,477.9337158203125,925.4865112304688,1.9116539768396732,512.7423706054688,925.443359375,4.183059832841843,518.182373046875,906.82080078125,3.214663226434713,496.4386291503906,933.0856323242188,2.765963405208604,524.1449584960938,891.5332641601562,3.891918647608501,0.1782236355555202
22,494.7397155761719,882.8206787109375,6.9426418258942855,551.598388671875,898.326904296875,5.732559918913769,479.4658508300781,918.198486328125,7.447331378778048,510.1403198242188,925.214111328125,2.6121299613915543,515.4047241210938,898.8530883789062,8.437995880619766,495.6428833007813,928.5556030273438,4.599388751531693,527.3565063476562,885.0245971679688,7.257877487121616,0.3073566086017909
23,496.2724914550781,873.9339599609375,9.017936129545296,549.0049438476562,890.5908813476562,8.15916706086511,481.2347717285156,912.7769165039062,5.702850208782294,509.0770568847656,920.1769409179688,5.14816606369378,515.5579833984375,893.843017578125,5.012414371830486,494.0196533203125,924.9450073242188,3.958696363819468,527.86279296875,879.06689453125,5.979176101292223,0.3069886164273476
24,497.9241333007813,869.1233520507812,5.086243137300428,550.87353515625,885.2205200195312,5.68615988811189,480.7018127441406,908.8880004882812,3.9252659853327976,511.2672729492188,915.5125732421876,5.152996431578495,515.0891723632812,891.512451171875,2.37725126156772,496.460205078125,920.7782592773438,4.828880011834867,529.3119506835938,874.6640625,4.635190177100845,0.2263713349487646
25,502.0184020996094,863.6947631835938,6.799456896400557,548.3207397460938,880.0185546875,5.794584344176018,479.7847290039063,902.593994140625,6.360468417572666,511.0892028808594,911.6678466796876,3.8488480470965074,514.4783325195312,888.1021728515625,3.464552429493017,496.5574340820313,914.6867065429688,6.092328634838419,527.23583984375,870.3582763671875,4.78017054516229,0.26528863796242486
26,503.4378051757813,857.8196411132812,6.044151258342182,549.5473022460938,875.6134033203125,4.572725022810813,478.7402038574219,897.642578125,5.060390631307634,509.5193481445313,908.6917724609376,3.3647379762293665,516.0745239257812,882.1370849609375,6.174957534126641,496.5791320800781,909.8610229492188,4.825732374480287,530.2960815429688,866.2220458984375,5.145238745505703,0.2513423824485902
27,507.1863098144531,852.7577514648438,6.298731129291268,550.9903564453125,870.5430297851562,5.271725828217526,478.9653625488281,892.4337158203125,5.213726397262341,511.3431396484375,904.149169921875,4.895043746241552,514.9974975585938,875.9871826171875,6.243499390027907,498.3558349609375,906.5174560546876,3.7863059444607208,532.7679443359375,863.190185546875,3.911813244345895,0.2544346119989086
28,508.7053527832031,847.3858642578125,5.582532015669487,551.0446166992188,864.8294067382812,5.713880686270508,477.8272399902344,888.8007202148438,3.8070960097868864,511.42138671875,899.7445068359375,4.4053580449984935,516.9219970703125,873.3760375976562,3.243728823996938,498.4622802734375,902.3385009765624,4.180310532668817,537.706298828125,856.7951049804688,8.079876270174893,0.25009130273975727
29,513.0055541992188,843.4091796875,5.857111266662458,551.5936279296875,860.92822265625,3.939625689462746,479.1855773925781,882.404052734375,6.539299301476603,510.77154541015625,895.5916137695312,4.203428903569078,518.0657958984375,870.09228515625,3.4772555062378765,496.0337829589844,900.4755859375,3.0607273072050787,540.0525512695312,854.981689453125,2.965362776055604,0.21459150536192462
30,516.4091796875,840.2761840820312,4.626048846301158,553.0941162109375,858.357666015625,2.976445283358971,478.7774353027344,878.4642333984375,3.960903478416134,509.6579895019531,890.8377685546875,4.88252507288871,519.4332275390625,865.7700805664062,4.533356571928659,495.1827697753906,896.805419921875,3.767537925608588,543.4755249023438,851.4724731445312,4.9021778416771,0.2117785358584237
31,520.8314208984375,835.4710693359375,6.530340347243899,556.962890625,852.3889770507812,7.112851989599685,479.0105895996094,872.01123046875,6.457213620185314,507.094970703125,889.2659912109375,3.0065843379942248,521.74853515625,862.9802856445312,3.625411020605249,494.7357482910156,893.0734252929688,3.758671589495141,540.5650634765625,850.3997802734375,3.1018471443086906,0.2399494289245157
32,524.5520629882812,829.415771484375,7.107025371549922,559.314453125,846.6681518554688,6.1852798729506615,480.1995544433594,866.0914306640625,6.038018476888889,507.6424255371094,884.8711547851562,4.428802773281575,521.278076171875,859.45263671875,3.55888165011774,494.8031005859375,887.783203125,5.29065089739431,544.2598266601562,845.4334106445312,6.190000183664151,0.27713328018462324
33,531.6532592773438,825.0315551757812,8.345558182430606,561.7940673828125,841.5281982421875,5.70680383526804,483.0058898925781,861.3557739257812,5.50472191816902,507.7710266113281,879.4490966796875,5.42358297948594,518.9254150390625,854.6442260742188,5.353113797808526,494.2947692871094,881.8159790039062,5.988836650029066,546.6181030273438,843.52392578125,3.0344027199986634,0.28112157202278476
