Coords,White_x,White_y,Velocity_White,Pink_x,Pink_y,Velocity_Pink,Yellow_x,Yellow_y,Velocity_Yellow,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Blue_x,Blue_y,Velocity_Blue,Red_x,Red_y,Velocity_Red,Va
0,601.463623046875,984.819091796875,,634.1904296875,991.4371948242188,,570.6659545898438,995.7659912109376,,554.96435546875,1020.6300048828124,,649.05615234375,1002.8766479492188,,655.2325439453125,1097.279296875,,587.138916015625,992.8994750976562,,0.0
1,603.0086059570312,981.3666381835938,3.782381279635044,634.6005859375,988.5846557617188,2.8818756483412744,576.0025634765625,988.7257690429688,8.834258462608265,557.9398193359375,1012.9497680664062,8.23646907242531,650.5601196289062,999.48681640625,3.708486953533227,658.48583984375,1093.3377685546875,5.110731816737769,585.9678955078125,987.4963989257812,5.52851889286822,0.27201944375820797
2,605.2674560546875,975.2330322265624,6.536323569087769,636.9443969726562,983.3057861328124,5.775804249410658,576.6295776367188,984.1575927734376,4.611006526404387,557.866943359375,1006.9163818359376,6.033826341051628,652.9061279296875,994.3239135742188,5.670918849739505,662.5311889648438,1086.2769775390625,8.13754381111799,586.8109741210938,983.7731323242188,3.817524817795296,0.28987820117576596
3,606.6871337890625,969.6300659179688,5.780027363664944,639.21337890625,980.5877075195312,3.5406539456647184,577.903564453125,979.4430541992188,4.883637617204472,560.8925170898438,1003.4325561523438,4.614232091277035,654.948974609375,990.7630004882812,4.105280083296531,664.2991943359375,1080.8271484375,5.729439783124863,590.7510375976562,976.2993774414062,8.448734357742907,0.26501432315696766
4,608.2886352539062,965.0215454101562,4.878859314719483,643.050537109375,977.1072387695312,5.180487023006239,579.4432373046875,971.653076171875,7.940676933129632,561.5509643554688,997.9168090820312,5.554909409276624,657.0619506835938,987.46728515625,3.9148955848153513,668.2699584960938,1075.572509765625,6.586212537380314,595.4861450195312,971.0474243164062,7.071368603311029,0.2937672100402762
5,609.7217407226562,962.7951049804688,2.647796871270192,645.4411010742188,972.6288452148438,5.076495336418227,583.1041259765625,970.4864501953124,3.8422808378687487,563.395263671875,992.249267578125,5.960072706519315,655.59765625,984.7673950195312,3.0714109035758845,669.92724609375,1070.5811767578125,5.259278218180115,596.6273803710938,967.6559448242188,3.578344767288972,0.21025485457943893
6,611.6343383789062,958.7174072265624,4.5039592323761095,647.615478515625,969.6179809570312,3.713922567403527,584.5962524414062,964.0177612304688,6.638552425866421,566.4174194335938,987.478271484375,5.647639256775134,658.6162109375,977.861328125,7.536937863162249,671.44140625,1066.198974609375,4.636418515249164,599.2706909179688,963.138671875,5.233817492515771,0.2707946239524884
7,614.6161499023438,954.8976440429688,4.845801351690147,648.6333618164062,963.158203125,6.539481329066678,588.0818481445312,956.7316284179688,8.076949223997426,566.9579467773438,984.8369750976562,2.6960371681108097,660.2845458984375,973.6967163085938,4.486349643444757,675.356201171875,1063.019287109375,5.043414704145847,602.4788208007812,957.0213012695312,6.907555317885456,0.27568277670243657
8,617.5211181640625,952.6065063476562,3.699750334884116,648.623779296875,960.18017578125,2.9780427607412303,589.6678466796875,955.9042358398438,1.788845949726836,569.3412475585938,978.7227172851562,6.562337328393302,661.9268798828125,969.26171875,4.729319640388624,677.4647827148438,1056.3994140625,6.947577655563885,603.3447875976562,953.1107177734376,4.005316688254485,0.21936564541394626
9,620.4916381835938,948.8469848632812,4.79144977829395,648.3548583984375,955.9620971679688,4.226642359774139,591.8173217773438,951.2666625976562,5.111489877921879,573.0630493164062,974.32275390625,5.762940747584719,663.3578491210938,964.5588989257812,4.915708215503855,678.8451538085938,1051.35546875,5.229417622637467,601.8135375976562,952.876708984375,1.5490276549689328,0.22561911611917812
10,624.6629028320312,944.71533203125,5.871116068664992,648.3163452148438,949.1522216796876,6.809984392875124,593.9344482421875,947.56298828125,4.266078751048684,570.76416015625,973.2042236328124,2.556560451716394,663.1270141601562,959.1408081054688,5.42300589307679,680.2913208007812,1048.3553466796875,3.3304851607639394,608.29736328125,945.99609375,9.454250975024054,0.26936772637978557
11,627.4757690429688,938.8910522460938,6.467955730863781,649.106689453125,945.499267578125,3.737474773574732,597.7152099609375,940.4564208984376,8.04968689704254,575.978271484375,968.4951782226562,7.025814231602913,662.810791015625,954.5817260742188,4.570035672158792,682.1500244140625,1043.791748046875,4.927596940034046,612.5389404296875,941.5223999023438,6.1648125152923,0.29245269114692213
12,633.5484619140625,933.2831420898438,8.26596969672674,649.9199829101562,940.88037109375,4.68995212988593,601.2517700195312,937.3435668945312,4.711381654852057,577.7318725585938,963.745361328125,5.063188447912604,666.2171630859375,950.0861206054688,5.640375804151703,684.9508056640625,1038.1324462890625,6.314433624350739,614.571533203125,940.6678466796876,2.204925076500863,0.2635016173884331
13,636.5740966796875,930.1712036132812,4.34034869761276,652.1293334960938,936.3851318359376,5.008832797824263,605.4857788085938,932.8079833984376,6.204703705729668,582.4583129882812,959.3955688476562,6.4233895848319085,667.8213500976562,943.7903442382812,6.496938974178822,687.5730590820312,1034.4132080078125,4.550708338353958,617.7274169921875,936.3060913085938,5.383726628213365,0.27434749090531957
14,638.217041015625,926.3090209960938,4.19710860706444,656.2487182617188,931.6070556640624,6.308672027574834,609.3363647460938,927.4518432617188,6.596608918697813,585.5940551757812,956.1140747070312,4.538841577035212,668.6859130859375,942.1427001953124,1.8606988077162268,689.4517211914062,1030.23876953125,4.577696791598016,619.3777465820312,934.6188354492188,2.3601737415091097,0.21742714622282602
15,643.9195556640625,921.16015625,7.683064589681082,657.3302612304688,926.3546752929688,5.362577249411172,610.6362915039062,924.8397827148438,2.917648004166685,588.3886108398438,955.8402099609376,2.8079428873637604,672.2022705078125,936.7538452148438,6.434634995001428,690.9439697265625,1025.54931640625,4.921155992472524,625.7853393554688,930.9428100585938,7.387178610452583,0.2679585880610659
16,646.8057250976562,915.974853515625,5.934419807068566,659.4354858398438,920.5065307617188,6.215526133346026,615.1071166992188,923.4764404296876,4.674075321765344,590.9111938476562,952.6806030273438,4.0430855798658,673.5496826171875,931.54296875,5.3822628070685,691.4572143554688,1018.8095092773438,6.759320985421289,627.1886596679688,926.01513671875,5.12359955926319,0.2723735013842765
17,648.4857788085938,911.9286499023438,4.381135030076694,661.8521728515625,913.128173828125,7.764053525840807,617.1038208007812,919.5658569335938,4.390841667507292,593.6722412109375,946.8045043945312,6.492450822672689,676.8423461914062,925.93603515625,6.502256357427727,694.0751953125,1015.4890747070312,4.228369665379863,629.630126953125,922.0459594726562,4.659949625843245,0.2744218335339166
18,650.837890625,907.86962890625,4.691277165507044,667.438720703125,911.2359008789062,5.898322966076257,619.1761474609375,913.0509033203124,6.836604301084146,598.4188842773438,942.002197265625,6.7522421579951,678.8732299804688,921.960693359375,4.464059964500724,697.5830078125,1009.9104614257812,6.589815982020677,636.0428466796875,917.6920166015624,7.7511155852685425,0.30702455801751777
